#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.118309E+00   0.154284E+05   0.756683E+04   0.133898E+02   0.133136E+02   0.000000E+00   0.142096E+05   0.142096E+05   0.142104E+05  -0.676548E-01   0.138998E+05   0.123373E+05   0.361371E+02
   0.123714E+00   0.146659E+05   0.799038E+04   0.118313E+02   0.117627E+02   0.000000E+00   0.136309E+05   0.136309E+05   0.136316E+05  -0.648983E-01   0.132918E+05   0.121219E+05   0.258755E+02
   0.129120E+00   0.139624E+05   0.818056E+04   0.104641E+02   0.104029E+02   0.000000E+00   0.130660E+05   0.130660E+05   0.130666E+05  -0.622074E-01   0.127123E+05   0.117928E+05   0.194854E+02
   0.134525E+00   0.132954E+05   0.802238E+04   0.922250E+01   0.916849E+01   0.000000E+00   0.124779E+05   0.124779E+05   0.124784E+05  -0.594065E-01   0.121306E+05   0.112974E+05   0.169471E+02
   0.139930E+00   0.126524E+05   0.751993E+04   0.808530E+01   0.803825E+01   0.000000E+00   0.118567E+05   0.118567E+05   0.118571E+05  -0.564485E-01   0.115358E+05   0.106475E+05   0.173691E+02
   0.145336E+00   0.120323E+05   0.677579E+04   0.705842E+01   0.701785E+01   0.000000E+00   0.112174E+05   0.112174E+05   0.112178E+05  -0.534044E-01   0.109364E+05   0.990591E+04   0.193997E+02
   0.150741E+00   0.114405E+05   0.594517E+04   0.615692E+01   0.612205E+01   0.000000E+00   0.105885E+05   0.105885E+05   0.105889E+05  -0.504102E-01   0.103505E+05   0.915739E+04   0.216568E+02
   0.156147E+00   0.108844E+05   0.518549E+04   0.539074E+01   0.536064E+01   0.000000E+00   0.100009E+05   0.100009E+05   0.100012E+05  -0.476123E-01   0.979917E+04   0.848275E+04   0.230678E+02
   0.161552E+00   0.103727E+05   0.461682E+04   0.475796E+01   0.473164E+01   0.000000E+00   0.948031E+04   0.948031E+04   0.948059E+04  -0.451337E-01   0.930279E+04   0.794147E+04   0.230563E+02
   0.166958E+00   0.991185E+04   0.429671E+04   0.424531E+01   0.422185E+01   0.000000E+00   0.904128E+04   0.904128E+04   0.904153E+04  -0.430433E-01   0.887505E+04   0.755888E+04   0.215701E+02
